code;name;location;reference product;categories;ex_name;ex_amount;ex_unit;ex_product;ex_production volume;ex_type;ex_location;database;material_group
0315391eee5c4664a51659346f592b0c;steel production, converter, low-alloyed;NEU;steel, low-alloyed;;market for coke;0.000183215956619923;megajoule;coke;;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP1-Base_2020;coke
0508e36d1fb6fc06f291fb30ce63078f;ferrochromium production, high-carbon, 68% Cr;RoW;ferrochromium, high-carbon, 68% Cr;;market for coke;16.8583333333333;megajoule;coke;0.0;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP1-Base_2020;coke
05a872f7d7e38ddcc3371f3a049ea07c;sulfate pulp production, from eucalyptus, bleached;RoW;electricity, high voltage;;market for coke;0.0018360524728829191;megajoule;coke;0.0;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP1-Base_2020;coke
06194b23a1bc9ae29b0a9db086672c63;aluminium production, primary, liquid, prebake;RoW;aluminium, primary, liquid;;market for coke;0.127;megajoule;coke;0.0;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP1-Base_2020;coke
0b08b7b08491415396541c732e07ff2c;pig iron production;CHA;pig iron;;market for coke;9.724;megajoule;coke;;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP1-Base_2020;coke
0ef2ffc41d6d83540304082916d5971d;calcium carbide production, technical grade;RER;calcium carbide, technical grade;;market for coke;17.9;megajoule;coke;0.0;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP1-Base_2020;coke
1046162a2c99c9666a9894b9c03e3d81;strontium carbonate production;GLO;sodium sulfide;;market for coke;5.786620878265433;megajoule;coke;0.0;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP1-Base_2020;coke
12756be8a0f7401b874c8de2c92a7301;steel production, converter, low-alloyed;SSA;steel, low-alloyed;;market for coke;0.000183215956619923;megajoule;coke;;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP1-Base_2020;coke
13b99e7de808fd95e21ae2133cd3d7b1;beet sugar production;RoW;sugar beet pulp;;market for coke;0.0034290109773261993;megajoule;coke;0.0;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP1-Base_2020;coke
13e3c78edb59407297abc5a2f65f7e4b;steel production, converter, unalloyed;World;steel, unalloyed;;market for coke;0.000183215956619923;megajoule;coke;;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP1-Base_2020;coke
1a8bb2f0cea9523f383e2f6865b39529;beet sugar production;RoW;molasses, from sugar beet;;market for coke;0.001314883908598768;megajoule;coke;0.0;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP1-Base_2020;coke
1b53453a5890967ff2becb7a73a6035d;aluminium production, primary, liquid, prebake;IAI Area, EU27 & EFTA;aluminium, primary, liquid;;market for coke;0.127;megajoule;coke;0.0;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP1-Base_2020;coke
1b9ad2c01d6c544829c15baca61de0f6;cathode production, for aluminium electrolysis;RoW;cathode, for aluminium electrolysis;;market for coke;12.9;megajoule;coke;0.0;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP1-Base_2020;coke
1e97c9038fe7446982cdf9baef6fa4f9;steel production, electric, low-alloyed;CHA;steel, low-alloyed;;market for coke;0.003363229704962088;megajoule;coke;;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP1-Base_2020;coke
1ee6446bbd38a0cfe97bd049598bf259;steel production, electric, low-alloyed;RoW;heat, district or industrial, other than natural gas;;market for coke;7.617571553973961e-05;megajoule;coke;0.0;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP1-Base_2020;coke
247c38a0b082432bbfb355fd0e5a9952;steel production, converter, low-alloyed;JPN;steel, low-alloyed;;market for coke;0.000183215956619923;megajoule;coke;;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP1-Base_2020;coke
2618456c40bf4579b37cae6d95280bb0;pig iron production;SSA;pig iron;;market for coke;9.724;megajoule;coke;;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP1-Base_2020;coke
