;name;db_target;db_year;method_0;method_1;method_2;activity;unit;total;46410: Primary cells and primary batteries;4153: Semi-finished products of aluminium or aluminium alloys;88752: Battery and accumulator manufacturing services;46430: Parts of primary cells, primary batteries and electric accumulators (including separators);53269: Other constructions for manufacturing;"471: Electronic valves and tubes; electronic components; parts thereof";47130: Printed circuits;35470: Chemical elements and compounds doped for use in electronics;"41412: Unrefined copper; copper anodes for electrolytic refining";46950: Carbon electrodes, carbon brushes, lamp carbons, battery carbons and other articles of graphite or other carbo[…];"463: Insulated wire and cable; optical fibre cables";89330: Metal forging, pressing, stamping, roll forming and powder metallurgy services;4124: Bars and rods, hot-rolled, of iron or steel;6511: Road transport services of freight;34170: Ethers, alcohol peroxides, ether peroxides, epoxides, acetals and hemiacetals, and their halogenated, sulphona[…];17100: Electrical energy;65119: Other road transport services of freight;65213: Coastal and transoceanic water transport services of intermodal containers by container ships;34710: Polymers of ethylene, in primary forms;17300: Steam and hot water;88601: Basic iron and steel manufacturing services;4151: Semi-finished products of copper or copper alloys;6512: Railway transport services of freight;89200: Moulding, pressing, stamping, extruding and similar plastic manufacturing services;893: Casting, forging, stamping and similar metal manufacturing services;65229: Other inland water transport services of freight;41122: Alloy steel in ingots or other primary forms and semi-finished products of alloy steel;36990: Articles of plastics n.e.c.;347: Plastics in primary forms;18000: Natural water;Unnamed: 50;53211: Highways (except elevated highways), streets and roads;33360: Gas oil;"34210: Hydrogen, nitrogen, oxygen, carbon dioxide and rare gases; inorganic oxygen compounds of non-metals n.e.c.";65219: Other coastal and transoceanic water transport services of other freight
350;NCA;Base;2020;T-reX;Demand: Aluminium;Aluminium;NCA, rechargeable, prismatic;kg;0.9261347873117924;0.2009785559239379;0.4430313416620592;0.1765173033232484;0.1606538148246412;0.0073025460040526;0.0028757741811063;0.0;0.0021597020469054;0.001963154231099;0.0015309256599914;0.0;0.0003705169751424;0.0;;0.0001186444885964;;0.0;;;0.0001046922902317;0.0;;;;;;;;;;0.0012260260299096;;;;
351;NMC811;Base;2020;T-reX;Demand: Aluminium;Aluminium;LFP, rechargeable, prismatic;kg;0.9084316060884098;0.4266799091006445;0.3707579404860663;0.175644781996039;0.0182271199499922;0.004081447474704;0.0022162757536728;0.0;0.0;0.0;0.0;0.0;0.0004168712392204;0.0;;0.0001045671304117;;0.0;;;0.0;0.0;;;;;;;;;;0.00139030554703;;;;
352;NMC111;Base;2020;T-reX;Demand: Aluminium;Aluminium;NMC811, rechargeable, prismatic;kg;0.8867006055969309;0.207084043057263;0.4546408320616633;0.1843997955431463;0.1348522580792342;0.0070783562192325;0.0027960713642591;0.0;0.0025802969967085;0.0019499611458592;0.0015253249835989;0.0;0.0003813883282003;0.0;;0.0001196778842646;;0.0;;;0.0001030250299582;0.0;;;;;;;;;;0.00127811310079;;;;
353;LiMn2O4;Base;2020;T-reX;Demand: Aluminium;Aluminium;NMC111, rechargeable, prismatic;kg;0.8742033002125663;0.2049187822855879;0.4441626631089951;0.1795780254751189;0.1527116858810525;0.0069782416959205;0.0028294628787485;0.0;0.0023096013459405;0.0020424687113693;0.0014318119682167;0.0;0.0003694847143103;0.0;;0.0001133821428327;;0.0;;;0.0001000166010817;0.0;;;;;;;;;;0.0012892027977841;;;;
354;LFP;Base;2020;T-reX;Demand: Aluminium;Aluminium;LiMn2O4, rechargeable, prismatic;kg;0.4250637615690282;0.9830205798336876;0.0;0.0;0.0;0.0034756584892785;0.0019042577069009;0.0044411520810314;0.0;0.0;0.0;0.0027330766484462;0.0;0.0014960954967488;;0.0;;0.0001740164967579;;;0.0;0.0001456520093275;;;;;;;;;;0.0025873935828768;;;;
360;NCA;Base;2020;T-reX;Demand: Bauxite;Bauxite;NCA, rechargeable, prismatic;kg;0.982238393060722;0.0002735134767272;0.6475529859292558;0.1837602925788908;0.1484268945400142;0.0081847665598263;0.0030342809455245;0.0;0.0022283323777925;0.0020950301490275;0.001556331977805;0.0;0.0003345750469495;0.0;;0.0001194503403564;;0.0;;;;0.0;;;;;;;;;;0.0011717027345863;;;;
361;NMC811;Base;2020;T-reX;Demand: Bauxite;Bauxite;LFP, rechargeable, prismatic;kg;0.9637716185997336;0.2462769008064305;0.5419562564711984;0.1827933756229697;0.0196052089823039;0.0046201003531887;0.0023376829848263;0.0;0.0;0.0;0.0;0.0;0.0003763120991839;0.0;;0.0001052436311478;;0.0;;;;0.0;;;;;;;;;;0.0013282775092729;;;;
362;NMC111;Base;2020;T-reX;Demand: Bauxite;Bauxite;NMC811, rechargeable, prismatic;kg;0.9572157581542282;0.0002799340165374;0.6528666365513869;0.1885969645078344;0.1384469567735045;0.0077872865692183;0.0028984054319967;0.0;0.002615566108392;0.0020444273785358;0.0015234252314661;0.0;0.000338347295464;0.0;;0.0001183759832552;;0.0;;;;0.0;;;;;;;;;;0.0012000432894465;;;;
363;LiMn2O4;Base;2020;T-reX;Demand: Bauxite;Bauxite;NMC111, rechargeable, prismatic;kg;0.9416959792640792;0.0003179644260061;0.6391729595317664;0.1840611009068694;0.1570026349082844;0.0076896707978578;0.0029393374215333;0.0;0.0023462138187991;0.0021460295747386;0.0014341313795778;0.0;0.0003284931725846;0.0;;0.0001123903224125;;0.0;;;;0.0;;;;;;;;;;0.0012130631935208;;;;
364;LFP;Base;2020;T-reX;Demand: Bauxite;Bauxite;LiMn2O4, rechargeable, prismatic;kg;0.4690193380581359;0.9828160240056276;0.0;0.0;0.0;0.0037828535051094;0.002149944549922;0.0042544073206714;0.0;0.0;0.0;0.0028036110200409;0.0;0.001486891568447;;0.0;;0.000151663317464;;;;0.0001514519823942;;;;;;;;;;0.002381158761832;;;;
